,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
RPS12,1.27E-143,0.738706116,1,0.991,1.75E-139,0,RPS12
RPS6,6.82E-143,0.693452324,1,0.995,9.35E-139,0,RPS6
RPS27,4.66E-141,0.737260375,0.999,0.992,6.39E-137,0,RPS27
RPL32,8.16E-138,0.626607543,0.999,0.995,1.12E-133,0,RPL32
RPS14,5.18E-130,0.633695709,1,0.994,7.10E-126,0,RPS14
RPS25,3.24E-123,0.768994036,0.997,0.975,4.45E-119,0,RPS25
RPL31,2.07E-119,0.775754415,0.997,0.964,2.84E-115,0,RPL31
RPL9,1.51E-118,0.771433774,0.997,0.971,2.07E-114,0,RPL9
RPL13,1.22E-114,0.565987703,1,0.996,1.67E-110,0,RPL13
LDHB,3.75E-112,1.206018934,0.912,0.592,5.14E-108,0,LDHB
RPS3,8.28E-112,0.598938447,1,0.994,1.14E-107,0,RPS3
RPL3,1.11E-111,0.613417472,0.997,0.995,1.52E-107,0,RPL3
RPS3A,5.40E-111,0.801027014,0.997,0.975,7.41E-107,0,RPS3A
RPL30,9.85E-110,0.680639364,1,0.98,1.35E-105,0,RPL30
RPL21,1.67E-107,0.670953804,0.997,0.991,2.29E-103,0,RPL21
RPS15A,3.49E-107,0.648472759,0.997,0.983,4.79E-103,0,RPS15A
RPLP2,7.44E-103,0.603163088,1,0.99,1.02E-98,0,RPLP2
RPS27A,4.54E-98,0.745480376,0.994,0.967,6.22E-94,0,RPS27A
EEF1A1,7.96E-98,0.535899863,0.994,0.991,1.09E-93,0,EEF1A1
RPS13,2.65E-97,0.715965479,0.985,0.962,3.64E-93,0,RPS13
RPS18,6.16E-93,0.524265115,1,0.996,8.44E-89,0,RPS18
RPL13A,9.33E-93,0.482264339,1,0.999,1.28E-88,0,RPL13A
RPL11,3.95E-92,0.467074852,1,0.995,5.42E-88,0,RPL11
MALAT1,1.27E-91,0.649795482,1,0.999,1.74E-87,0,MALAT1
RPS28,1.43E-91,0.660562936,0.993,0.968,1.96E-87,0,RPS28
RPL35A,3.13E-90,0.587549237,0.999,0.981,4.29E-86,0,RPL35A
RPL27A,5.26E-89,0.538688804,0.999,0.988,7.22E-85,0,RPL27A
CCR7,9.57E-88,2.397365691,0.447,0.108,1.31E-83,0,CCR7
RPS29,1.78E-87,0.780195199,0.993,0.904,2.44E-83,0,RPS29
TPT1,1.80E-85,0.611241837,0.997,0.982,2.47E-81,0,TPT1
RPL23A,1.14E-84,0.565771706,1,0.988,1.56E-80,0,RPL23A
RPS23,4.71E-84,0.583006065,0.997,0.977,6.45E-80,0,RPS23
RPS4X,6.03E-81,0.521558983,0.997,0.992,8.27E-77,0,RPS4X
RPS20,3.50E-80,0.694261068,0.988,0.943,4.79E-76,0,RPS20
CD3D,1.15E-76,1.064112934,0.845,0.406,1.58E-72,0,CD3D
RPL5,1.40E-76,0.613723531,0.988,0.969,1.92E-72,0,RPL5
RPS16,3.86E-75,0.547422226,0.996,0.982,5.29E-71,0,RPS16
RPL10,6.42E-72,0.359266327,1,0.997,8.80E-68,0,RPL10
RPL19,1.03E-71,0.402733142,0.999,0.993,1.41E-67,0,RPL19
RPL10A,1.04E-69,0.531966525,0.991,0.985,1.43E-65,0,RPL10A
RPSA,7.01E-67,0.583512422,0.99,0.948,9.61E-63,0,RPSA
RPL14,5.45E-63,0.444659822,0.996,0.985,7.47E-59,0,RPL14
RPS10,4.21E-61,0.534315391,0.991,0.968,5.77E-57,0,RPS10
RPS5,4.45E-61,0.513814006,0.99,0.975,6.10E-57,0,RPS5
NPM1,1.44E-59,0.81532609,0.921,0.798,1.97E-55,0,NPM1
RPS15,2.32E-59,0.416378255,1,0.989,3.18E-55,0,RPS15
RPL36,9.49E-58,0.557539859,0.99,0.948,1.30E-53,0,RPL36
RPLP0,1.13E-57,0.549277018,0.988,0.938,1.55E-53,0,RPLP0
RPL18,3.58E-57,0.524928447,0.999,0.979,4.90E-53,0,RPL18
CD3E,1.12E-54,1.043529023,0.731,0.4,1.54E-50,0,CD3E
RPL4,4.72E-52,0.543569946,0.994,0.956,6.48E-48,0,RPL4
LEF1,1.35E-51,2.136529676,0.342,0.103,1.86E-47,0,LEF1
RPL7,7.52E-50,0.574818247,0.98,0.967,1.03E-45,0,RPL7
RPL22,7.58E-50,0.732067868,0.911,0.777,1.04E-45,0,RPL22
RPL36A,7.81E-50,0.598640413,0.965,0.887,1.07E-45,0,RPL36A
EEF1B2,8.70E-49,0.584034432,0.947,0.867,1.19E-44,0,EEF1B2
NOSIP,1.94E-47,1.198913241,0.629,0.359,2.66E-43,0,NOSIP
RPL18A,3.75E-47,0.323458821,0.999,0.992,5.14E-43,0,RPL18A
RPS2,7.47E-47,0.330114148,1,0.995,1.02E-42,0,RPS2
RPS8,1.32E-46,0.434586918,0.997,0.984,1.81E-42,0,RPS8
RPS19,3.80E-46,0.366090533,0.999,0.992,5.21E-42,0,RPS19
RPL17,7.25E-46,0.467452297,0.978,0.957,9.94E-42,0,RPL17
PIK3IP1,2.81E-44,1.526199727,0.443,0.185,3.85E-40,0,PIK3IP1
JUNB,1.07E-43,0.725787099,0.915,0.903,1.47E-39,0,JUNB
PRKCQ-AS1,6.27E-43,1.985307349,0.33,0.112,8.60E-39,0,PRKCQ-AS1
TMEM66,7.36E-43,0.824690569,0.846,0.7,1.01E-38,0,TMEM66
BTG1,4.54E-42,0.626258935,0.944,0.859,6.23E-38,0,BTG1
GLTSCR2,2.50E-41,0.62065256,0.92,0.803,3.42E-37,0,GLTSCR2
RPS26,5.93E-41,0.518457261,0.965,0.898,8.13E-37,0,RPS26
CD7,1.18E-40,0.876490554,0.582,0.293,1.62E-36,0,CD7
RPL38,3.22E-38,0.54942935,0.947,0.874,4.41E-34,0,RPL38
RPS21,3.95E-37,0.535228057,0.94,0.839,5.41E-33,0,RPS21
RPLP1,5.94E-37,0.313020613,1,0.996,8.14E-33,0,RPLP1
RPL35,8.84E-37,0.413592015,0.991,0.965,1.21E-32,0,RPL35
IL7R,3.69E-36,0.902346696,0.604,0.332,5.07E-32,0,IL7R
RPL12,9.09E-36,0.299262748,1,0.989,1.25E-31,0,RPL12
RPL24,9.47E-36,0.431917354,0.984,0.942,1.30E-31,0,RPL24
MAL,1.34E-34,1.956367521,0.268,0.087,1.84E-30,0,MAL
TCF7,2.00E-34,1.337712204,0.393,0.177,2.74E-30,0,TCF7
RPL37A,8.62E-33,0.396611458,0.987,0.945,1.18E-28,0,RPL37A
RPL37,7.14E-32,0.429035783,0.987,0.943,9.79E-28,0,RPL37
C6orf48,4.19E-31,0.932040863,0.699,0.492,5.74E-27,0,C6orf48
RPSAP58,1.51E-29,0.588089145,0.845,0.698,2.07E-25,0,RPSAP58
RPS4Y1,2.51E-29,0.495232992,0.94,0.869,3.44E-25,0,RPS4Y1
CD27,8.31E-29,0.923462348,0.399,0.184,1.14E-24,0,CD27
RPL27,8.91E-29,0.370671578,0.975,0.952,1.22E-24,0,RPL27
RPL34,6.48E-28,0.592990033,0.927,0.904,8.88E-24,0,RPL34
RPL7A,2.35E-26,0.326285669,0.985,0.975,3.22E-22,0,RPL7A
RPL6,2.67E-26,0.286710254,0.999,0.992,3.66E-22,0,RPL6
LTB,5.17E-26,0.391925971,0.898,0.636,7.10E-22,0,LTB
LEPROTL1,5.21E-26,1.101996517,0.404,0.209,7.15E-22,0,LEPROTL1
RPL15,8.54E-26,0.283149137,0.996,0.996,1.17E-21,0,RPL15
RGCC,1.33E-21,1.053904756,0.36,0.185,1.83E-17,0,RGCC
AES,1.66E-21,0.665465123,0.64,0.442,2.28E-17,0,AES
SELL,8.55E-21,0.527017348,0.608,0.425,1.17E-16,0,SELL
RPS7,1.31E-20,0.273299338,0.997,0.987,1.80E-16,0,RPS7
LCK,1.46E-20,0.807340191,0.504,0.311,2.00E-16,0,LCK
